,"Item","Description","Price","UPC / GTIN","Gross Wt (lbs)","Pack/Unit","Case Cube","Unique Instructions"
,"7"":24oz:7034-6","7"" Peppermint Swirl Cheesecake (6/cs)",36.50,"10603812070345","10.5","6 / 24 oz",".68",
,"7"":24oz:7039-1","7"" Fabulous Four Cheesecake Assortment",6.00,"603812070393",,"1 / 24 oz",,
,"7"":24oz:7039-6","7"" Fabulous Four Cheesecake Assortment (6/cs)",36.50,"10603812070390","10.5","6 / 24 oz",".68",
,"7"":24oz:7040-1","7"" Hazelnut Mocha Cheesecake",6.00,"603812070409",,"1 / 24 oz",,
,"7"":24oz:7040-6","7"" Hazelnut Mocha Cheesecake (6/cs)",36.50,"10603812070406","10.5","6 / 24 oz",".68",
,"7"":24oz:7041-1","7"" New York with Almond Roca Cheesecake",6.00,"603812070416",,"1 / 24 oz",,
,"7"":24oz:7041-6","7"" New York with Almond Roca Cheesecake (6/cs)",36.50,"10603812070413","10.5","6 / 24 oz",".68",
,"7"":24oz:7042-1","7"" Lavender Honey Cheesecake",6.00,"603812070423",,"1 / 24 oz",,
,"7"":24oz:7042-6","7"" Lavender Honey Cheesecake (6/cs)",36.50,"10603812070420","10.5","6 / 24 oz",".68",
,"7"":24oz:7043-1","7"" Festive Four Cheesecake Assortment",6.00,"603812070430",,"1 / 24 oz",,
,"7"":24oz:7043-6","7"" Festive Four Cheesecake Assortment (6/cs)",36.50,"10603812070437","10.5","6 / 24 oz",".68",
,"7"":24oz:7044-1","7"" Caramel Apple Cheesecake",6.00,"603812070447",,"1 / 24 oz",,
,"7"":24oz:7044-6","7"" Caramel Apple Cheesecake (6/cs)",36.50,"10603812070444","10.5","6 / 24 oz",".68",
,"7"":24oz:7100","BRAVO Cakes",5.16,,,,,
,"7"":24oz - CDN",,0.00,,,,,
,"7"":24oz - CDN:5039-1","7"" Fabulous Four Cheesecake Assortment",6.00,"603812050395",,"1 / 680 g",,
,"7"":24oz - CDN:5039-6","7"" Fabulous Four Cheesecake Assortment (6/cs)",36.50,"10603812050392","10.5","6 / 680 g",".75",
,"7"":24oz - CDN:5043-1","7"" Festive Four Cheesecake Assortment",6.00,"603812050432",,"1 / 680 g",,
,"7"":24oz - CDN:5043-6","7"" Festive Four Cheesecake Assortment (6/cs)",36.50,"10603812050439","10.5","6 / 680 g",".75",
,"7"":24oz NO LABEL(labels in box)",,0.00,,,,,
,"7"":24oz NO LABEL(labels in box):8001-1","7"" New York ""Signature"" Cheesecake - NO LABEL",6.00,"603812080019",,"1 / 24 oz",,
,"7"":24oz NO LABEL(labels in box):8001-6","7"" New York ""Signature"" Cheesecake - NO LABEL  (6/cs)",33.50,"10603812080016","10.5","6 / 24 oz",,"Place Labels In Box"
,"7"":24oz NO LABEL(labels in box):8008-1","7"" Pumpkin Cheesecake - NO LABEL",6.00,"603812080088",,"1 / 24 oz",,
,"7"":24oz NO LABEL(labels in box):8008-6","7"" Pumpkin Cheesecake - NO LABEL (6/cs)",38.00,"10603812080085",,"6 / 24 oz",,
,"7"":24oz NO LABEL(labels in box):8016-1","7"" Chocolate Truffle (w/o Ganache) Cheesecake - NO LABEL",6.00,"603812080163",,"1 / 24 oz",,
,"7"":24oz NO LABEL(labels in box):8016-6","7"" Chocolate Truffle Cheesecake (w/o Ganache) - NO LABEL (6/cs)",38.00,"10603812080160",,"6 / 24 oz",,
,"7"":32 oz",,0.00,,,,,
,"7"":32 oz:27001-1","7"" New York ""Signature"" Cheesecake",9.00,"603812270014",,"1 / 32 oz",,
,"7"":32 oz:27001-6","7"" New York ""Signature"" Cheesecake (6/cs)",36.90,"10603812270011","13.5","6 / 32 oz",".75",
,"7"":32 oz:27002-1","7"" Gluten Free New York Cheesecake",9.00,"603812270021",,"1 / 32 oz",,
,"7"":32 oz:27002-6","7"" Gluten Free New York Cheesecake (6/cs)",39.12,"10603812270028","13.5","6 / 32 oz",".75",
,"7"":32 oz:27003-1","7"" White Chocolate Raspberry Cheesecake",9.50,"603812270038",,"1 / 32 oz",,
,"7"":32 oz:27003-6","7"" White Chocolate Raspberry Cheesecake (6/cs)",36.90,"10603812270035","13.5","6 / 32 oz",".75",
,"7"":32 oz:27004-1","7"" Gluten Free Chocolate Truffle Cheesecake",9.50,"603812270045",,"1 / 32 oz",,
,"7"":32 oz:27004-6","7"" Gluten Free Chocolate Truffle Cheesecake (6/cs)",39.12,"10603812270042","13.5","6 / 32 oz",".75",
